Version,Title,glottocode,Year,rhotics,transcription_phon,quality_trans,quality_ling_trans,new_symbols_narr,new_symbol_comment,phoneme,phonetic,phonemic,tap_pt,tap_pm,total_rhotics,Obs_REVIEW,r_present_in_ortho,orthography_comments,observations,obs2
N,Mbarrumbathama (Lamalama),lamu1254,2019,voiced fricative (trill) alveolar & voiced trill alveolar r r̥ & voiced approximant alveolar & voiceless palatal fricative,r̞ ɹ r ,"Broad
Transcription & Practical orthography",phonemic,,,r̞ & r & ɹ & ɕ,NA,14,NA,0,15,there are approximant_ r and r with lowered diacritic,1,one and two r are possible (the two r being for they consider is a trill),the trill (rr) and the fricative trill (rh) \\ Mbarrumbathama has one further unusual item_ viz. a fricative trill_ with no clear attestations elsewhere in Australia (except possibly in Dhanggati; see Lissarague (2000: 27–30)_ who also mentions a potential parallel with rhoticized obstruents in Daly River languages). The fricative trill in Mbarrumbathama is cognate with voiceless trills in other Lamalamic languages (see Verstraete 2017 on Umbuygamu and Godman 1993 on Rimanggudinhma)_ and has also been analysed as a voiceless trill in previous analyses of Mbarrumbathama (see Rigsby 1997_ Sommer 1999). As I argue in more detail below_ however_ at least in the speech of Daisy Salt (the point of reference for this study)_ this item belongs in the class of fricatives because it has both voiced and voiceless allophones_ and behaves like a fricative rather than a trill in terms of the distribution of voicing. \\ Finally_ the consonant inventory in Mbarrumbathama also has a trill_ a lateral_ and two approximants. 6 Within this set_ one specific allophonic process concerns the trill_ which can be voiceless in utterance-final contexts,Mbarrumbathama also has a fricative trill_ as in /ˈr̝ a ɹ/ rhar ‘sore’ (DS). From a comparative perspective_ this is the equivalent of what is a voiceless trill in other Lamalamic languages (e.g. Umbuygamu_ see Verstraete 2017)_ and it has also been analysed as a voiceless trill for Mbarrumbathama (see Rigsby 1997_ possibly also Sommer 1998). Phonetically_ this element has both features of a trill and features of a fricative_ as illustrated in Figures 10–12 below. All examples show at least one period of vibration_ characterized by a closure phase followed by an open phase. In addition_ they show the high-frequency energy typical of fricatives_ in the open phases following closure and in a longer final fricative phase preceding the vowel (not unlike the Czech trill <ř>_ described as a laminal trill by Ladefoged & Maddieson 1996ː 228–230).  In some cases_ this final fricative phase is followed by an approximant phase transitioning into the vowel (e.g. (16c) below_ see Figure 12)_ presumably reflecting further lowering of the tongue after the fricative phase. By itself_ such mixed features could justify either a classification as a trill or as a fricative (see also Solé 2002 on phonetic links between fricatives and voiceless trills). Crucially_ however_ the element is not uniformly voiceless_ which obviously goes against previous analyses as a voiceless trill. In the speech of Daisy Salt_ there is a regular alternation between voiceless and voiced variants_ 5 with the same distribution as other fricatives in Lamalama: predominantly voiceless in utterance-initial position_ as in (16a) below_ and predominantly voiced intervocalically and in clusters_ as in (16b_ c). In this sense_ a classification as a fricative appears to be the most natural solution. I use the symbol /r̝ / to represent this sound; this representation has also been used for Czech <ř>_ which seems to be the closest equivalent  typologically (although Howson_ Komova & Gick 2014 argue that tongue height is not the basic feature distinguishing <ř> in Czech).
N,Mexico City Spanish,adae1234,2018,voiced dentialveolar trill r ʐ & voiced dentialveolar tap, ɾ r ʐ̊,Orthographic version & Narrow transcription,phonetic,,,r & ɾ,3,NA,27,NA,31,there is a retroflex fricative,1,one r (depending on the word position can be a phonemic trill or a phonemic tap) and two r for the phonemic trill,Spanish has a phonemic contrast between a flap and a trill_ /ɾ/  /r/. The distribution of this pair is defective in the sense that the flap occurs intervocalically_ word-finally_ and in consonant clusters (plosive–flap)_ whereas the trill occurs word-initially and intervocalically (see Harris 1969 for phonological analysis). There is a previously undescribed realization of the trill in the speech of some speakers of Mexico City Spanish. The most salient observation indicates that the trill is also realized as a voiced retroflex fricative [ʐ]_ especially noticeable in the speech of middle-class female speakers. Such pronunciation was also found in the speech of some the speakers included in this illustration. Figure 1 includes the sound pressure oscillograms and corresponding spectrograms illustrating the variation of the phonemic trill in two female speakers (f2 and f3).,
N,Niuean,niue1239,2018,no,no,Phonetic (broad) version & Orthographic version,phonetic,,,no,0,NA,0,NA,0,,0,no r in the orthography,The approximant [ɹ] is found in some loanwords from English for some speakers_ but is not common,
N,Nivaĉle (shichaam lhavos variety),niva1238,2019,no,ʋ,Semi-narrow phonetic transcription & Community orthography,phonetic,,,no,0,NA,0,NA,0,,0,no r in the orthography,In the shichaam lhavos variety_ [B] and [ʋ] appear to have replaced the use of /w/,
N,Philippine English (Metro Manila acrolect),phil1246,2018,voiced approximant alveolar,ɝ ɹ r,Orthographic & Broad & Narrow,both,,,ɹ,1,0,0,0,30,,1,normal usage of r (but double can r can exist),Most Southeast Asian Englishes are described as non-rhotic_ although rhoticity may be emerging in some varieties due to local substrate effects or recent influence from the American media (Salbrina & Deterding 2010_ Tan 2012). Philippine English has had American rather than British influence from the beginning_ however_ so it is highly rhotic in comparison. According to Tayao (2008: 162)_ the rhotic in the acrolect is quite similar to the approximant /ɹ/ of American English_ although it is often tapped or trilled in the basilect or mesolect due to L1 influence. In fact_ the approximant seems to be spreading across sociolects and even influencing other Philippine languages; for example_ its use seems to be widespread in the different varieties of English or Taglish (Tagalog–English codeswitching) used on television_ and Lesho (2013) has found that it has become common in Cavite Chabacano (a Tagalog–Spanish creole)_ especially in coda position and among female speakers.,In this Philippine English sample_ all speakers used an approximant /ɹ/ across different phonological environments. In the word list_ [ɹ] occurred in simple or complex onsets (rock_ arrive_ pray) and post-vocalically before a consonant or pause (portion_ fare). In addition_ [ɝ] appeared in words belonging to the NURSE set (word) and in unstressed final syllables (dipper). There were no instances of /ɹ/ being trilled or tapped in any of the tasks_ with three near exceptions. In one token of strengths (Speaker 2) and two of threw (Speaker 4)_ an epenthetic vowel was inserted before the rhotic_ which was then partially tapped. \\ The speakers were also consistently rhotic during the reading passage. They produced [ɹ] or [ɝ] in every possible post-vocalic context before a consonant or pause (e.g. hard [ˈhɑɹd]_ stronger [ˈstɹɔŋɡɝ]).
N,Saterland Frisian,fris1239,2019,voiced aleolar trill r ɐ,r ɐ̯ ɾ ɐ,"Phonemic transcription
& Allophonic transcription & Orthographic version",both,,,r,9,23,2,0,23,,1,normal usage of r,In onset position /r/ is an alveolar trill. Younger speakers tend to replace the alveolar trill with the voiced uvular fricative [ʁ]. Prevocalic /r/ may be preceded by /p/_ /b/_ /t/_ /d/_ /k/_ /ɡ/_ /f/_ and /v/. After a vowel in word-final position and before a consonant it is [ɐ] ([bɔːɐ̯ ] boar ‘cash ADJ ’_ [bɔːɐ̯ st] Boarst ‘fissure’). → might be a tap when preceded by a consonnant,
N,Tianjin Mandarin,tian1238,2019,voiced postalveolar approximant apical & voiceless alveolopalatal fricative,ɹ̺̩ ɹ̺ ,Phonemic transcription & Orthographic Transcription,phonemic,,,ɹ̺  & ɕ,NA,0,NA,0,13,,NA,chinese writting so cannot say,The alveolo- palatal fricative in Tianjin Mandarin is obligatorily followed by a palatal glide (as in /ɕjɐ 1 / ‘shrimp’ and /ɕɥe 1 / ‘boots’) or a high vowel (as in /ɕi 1 / ‘west’). \\ The velar fricative /x/ is realized with the uvular fricative [X] when followed by a low vowel_ as in /xaɛ 2 / ([Xaɛ 2 ]) ‘child’ and /xɑɔ 3 / ([Xɑɔ 3 ]) ‘good’.,the onset /®̺ / can be pronounced as [j] in the old variety of Tianjin Mandarin in words such as /®̺ əʊ 4 / ([jəʊ 4 ]) ‘meat’; and interestingly_ the onset /j/ can also be pronounced as [®̺ ] in words such as /jɑŋ 4 / ([®̺ ɑ ŋ 4 ]) ‘to brim over’. Further research is needed to understand the lexical-specific swap. Furthermore_ /ɥ/ was reported to be produced as [j] in the old variety (Han 1993b). \\ Tianjin Mandarin has two syllabic consonants (notation in line with Chao 1948): the dentoalveolar /ɹ̪̩/_ as in /ts̪ɹ̪̩3 ̩ / ‘son’_ and postalveolar /ɹ̺̩/_ as in /tʃɹ̺̩3 ̩ / ‘paper’. These two phonemes are traditionally referred to as ‘apical vowels’ by Sinologists. Ladefoged & Maddieson (1996) refer to them as ‘fricative vowels’. With evidence from both ultrasound imaging and acoustic data_ Lee-Kim (2014) shows that these two phonemes are neither vowels nor fricative_ but more comparable with approximants in nature_ i.e. syllabic dental approximant /ɹ̪ / and retroflex approximant /ɻ/_ respectively. This is similar to observations made in Lee & Zee (2003_ 2014)_ in which_ however_ the two sounds have been transcribed with the same syllabic approximant /ɹ̩ /. The dentoalveolar /ɹ̪̩/ only follows dentoalveolar consonants /ts̪ ts̪ h s̪ / (as in /ts̪ɹ̪̩3 / ‘son’_ /ts̪ hɹ̪̩2 / ‘word’_ /s̪ ɹ̪̩1 / ‘to think’)_ while /ɹ̺̩/ follows postalveolar consonants /tʃ ̺ tʃ h ̺ ʃ ̺ / (as in /tʃɹ̺̩3 / ‘paper’_ /tʃ hɹ̺̩ 1 / ‘to eat’_ /ʃ ɹ̺̩ 1 / ‘poem’). Their tongue configurations are similar to the preceding homorganic consonants_ i.e. /ɹ̺ / ̩ is homorganic with /ts̪ _ ts̪ h _ s̪ /_ and /ɹ̺/ ̩ is homorganic with /tʃ ̺ tʃ h ̺ ʃ ̺ /. In addition_ /ɹ̺̩/ can occur by itself as in /ɹ̺4 ̩ / ‘the sun’. To highlight the homorganicity of the preceding consonants and the following syllabic approximants_ we transcribe the two syllabic consonants with two independent symbols as in Lee-Kim (2014)_ but we adopted the postalveolar /ɹ̺/ ̩ symbol rather than the retroflex /ɻ̩ /.
N,Umbuygamu,umbu1256,2019,voiced aleolar trill & voiceless alveolar trill & voiced approximant alveolar & voiceless alveopalatal fricative,r ɹ,Broad Transcription & Practical orthography,phonemic,,, r& r̥  & ɹ & ɕ,NA,12,NA,0,17,approximant and r,1,one and two r are possible (the two r being for they consider is a trill),might be a r̞ instead of  r̥ (orthography is rh),As mentioned earlier_ Umbuygamu has contrasting voiced and voiceless alveolar trills_ as in /aˈram/ arram ‘wallaby sp.’ (RL) and /aˈr̥ am/ arham ‘sandridge goanna’ (FB). Voiced trills are voiced throughout_ while for voiceless ones_ voicing is suspended for the duration of the trill_ as shown in Figures 4 and 5.
N,Zwara (Zuwārah) Berber,tuni1262,2018,voiced aleolar approximant & voiced alveolar pharyngealized approximant & voiceless uvular fricative & voiced uvular fricative & ( voiced uvular pharyngealized fricative),r χ ʁ,Phonemic (phonological notation) & Tifinagh orthography,phonemic,,,r & rˤ & χ & ʁ & (ʁˤ),NA,18,NA,0,18,r and glotolized r,1,Tifinagh orthography_ the r correspond to the circle and double r to double circle,The pharyngealized uvular /ʁˁ/ is probably innovative. Four out of eight consultants used /ʁ/ instead of /ʁˁ/ in the word for ‘churned milk’_ an everyday word_ i.e. /ˈa.ʁi/. By default_ the forms given below are as for the variety without /ʁˁ/.,Alveolar /r rˁ/ are tapped in the onset and briefly trilled in the coda_ while geminate occurrences are long trills_ as in /ˈrˁ.rˁuzˁ/ ‘rice’. The voiced uvular fricative /ʁ/ may be a trill_ as in /ˈim.ʁar/ ‘growing up’.
O,American English,west2920,1999,voiced approximant alveolar,ɾ,Broad phonemic transcription & Narrow phonetic transcription & Orthographic version,both,,,ɹ,0,0,1,0,19,approximant (i did not include taps for allophones of plosives),1,normal usage of r (but double can r can exist),[d] is a voiced flap_ resembling [ɾ],
O,Amharic,amha1245,1992,voiced tap/trill alveolar,r rr,Transcription of recorded passage & Orthographic version,unknown,no,,r,22,NA,0,NA,22,there are single r and double 4 rr (17 if we count the rr as one),NA,amharic writting so cannot say,Single /r/ is a tap_ geminate /rr/ a trill,might be a tap and a trill as two distinct phonemes (we assume they constrast)
O,Arabic,nort3191,1990,voiced aleolar trill,r rr,Transcription of recorded passage,unknown,no,,r,15,NA,0,NA,15,there are single r and one double rr (15 if we count the rr as one),NA,no orthography given but we assume that it is arabic writting,Nowhere have we observed a pharyngeal fricative_ /x/ is accompanied by uvular trill,might be a tap
O,Bulgarian,bulg1262,1990,voiced aleolar trill,r,Transcription of recorded passage & Orthographic version,unknown,no,,r,24,NA,0,NA,24,,NA,cyrilic writting and no transliteration,might be a tap with trill as a allophone \\ might be a palatilised tap,
O,Catalan,stan1289,1992,voiced aleolar trill & voiced alveolar tap,ɾ r,Transcription of recorded passage & Orthographic version,unknown,yes,presence of approximants for the plosive set,ɾ & r,9,NA,14,NA,23,count based on the transcription,1,one r (depending on the word position can be a phonemic trill or a phonemic tap) and two r for the phonemic trill,Final /r/ is lost before a word boundary or before the plural morpheme in most words_ including infinitives_ but is restored before a morpheme starting with a vowel: color [ku'lo] 'color' but coloraina [kuluɾ'ajnɘ] 'bright colors'. There are however a number of exceptions_ like futur [fu'tur] 'future'.,
O,Chinese (Hong Kong Cantonese),cant1236,1991,voiced aleolar trill,no,Transcription of recorded passage & Orthographic version,unknown,no,,r,0,NA,0,NA,0,no r in the narrative,NA,chinese writting so cannot say,ABSURD,
O,Croatian,croa1245,1995,voiced aleolar trill and voiced labiodental approximant,r,Transcription of the recorded passage & Orthographic version,unknown,yes,presence of alveolar trill symbol with syllabic diacritic and gemination,ʋ & r,16,NA,0,NA,16,,1,normal usage of r,,
O,Cypriot Greek,cypr1249,1999,voiced alveolar tap,ɾ r,Transcription of recorded passage & Orthographic version,unknown,yes,presence of alveolar trill symbol,ɾ,1,NA,18,NA,19,,NA,cyrilic writting and no transliteration,Cypriot Greek has one rhotic_ a tap; when geminated_ it is pronounced as a long trill,female recordings for the WL
O,Czech,czec1258,1997,voiced alveolar fricative trill & alveolar voiced trill ,r   r̝ ,Transcription of recorded passage & Orthographic version,unknown,no,,r & r̝,10,NA,0,NA,10,r are used with diacritics lowered (in our count with count those naked) in other words we exclude fricative r (there are 2 r fricative so it could be 12),1,one r and also the r with the diactritic on top ř,There are two trills_ /r/_ as in ruka /ruka/ 'hand'_ and /r̞/_ as in reka /r̞eka/ 'river'. The first one is an alveolar apical trill with 1-3 periods of vibration. It is immune from voicing assimilation and occurs voiced in all positions in the word. In case of /r̞/_ the place of articulation is normally similar to that for /r/. Although it may be produced with the blade of the tongue_ the main differentiating characteristic from /r/ is the number of vibrations_ which may be 1-2 greater than in /r/_ and their lesser amplitude than for the vibrations in /r/. Also_ the constriction is narrower and the velocity of air greater. This sound often starts as a trill but continues as a fricative and thus probably the best term for it is 'alveolar trill fricative' with the symbol /r̞/. (The laminal diacritic /r̥/ used in Ladefoged & Maddieson (1996) does not capture the sound's defining property). A voiceless allophone of /r̞/ occurs in places where voicing assimilation applies.,
O,Danish,dani1285,1998,approximant suparpharyngeal,ʌ̯ ʁ,Transcription of recorded passage & Orthographic version,unknown,yes,presence of the non-syllabic manifestation of the rhotic,(ʁ̞),0,NA,0,NA,24,,1,normal usage of r,Add to this the non-syllabic manifestation of /r/ in post-vocalic position_ transcribed either [ɐ̯] or (as in this paper) [ʌ̯].,not sure if I get it correctly the symbol <r> is also used to designate the phoneme ? Which phoneme ? So maybe it should be a mismatch… I’ve no idea.
O,Dutch,dutc1256,1992,voiced tap alveolar ɾ ɹ r ʁ ʁ̆ ʁ̞ & voiced labiodental approximant & voiceless uvular fricative,ɾ χ ʋ,Transcription of recorded passage & Orthographic version,unknown,yes,presence of the glottal plosive symbol,ɾ & ʋ & χ,0,NA,32,NA,32,,1,normal usage of r,/ʋ/ is realized as [β̞ ] in the coda_ /ɾ/ is [ɾ] in the onset_ and [ɹ] in the coda; in careful speech_ a trill may occur word-initially (the majority of speakers have a uvular_ rather than alveolar_ realization of /ɾ/).,
O,The Dutch dialect of Weert,sout2637,1998,voiced uvular trill,ʀ,Transcription of recorded passage & Standard Dutch orthographic version,unknown,yes,presence of the post-alveolar nasal symbol,ʀ,0,NA,0,NA,34,,1,normal usage of r,[ʀ] is a uvular or pre-uvular trill with a fricative component_ the latter element being particularly prominent in the coda_ where the consonant is partially devoiced.,
O,French,stan1290,1993,voiced uvular fricative  ʁ ʁ̞ χ ʀ r,ʁ ʁ̞ ʁ̻ (χ) ,Narrow transcription & Orthographic version,phonetic,,,ʁ,0,NA,0,NA,23,,1,normal usage of r (but double can r can exist) and some r combined with other letter for other sound,French has one rhotic_ whose production varies considerably among speakers and phonetic contexts. The speaker presented here uses a uvular fricative [ʁ] that is sometimes reduced to an approximant [ʁ̞]_ particularly in final position; it may also be devoiced (for examples see the transcribed text)_ and can be reduced to zero in some word-final positions. For other speakers_ a uvular trill [ʀ] is also fairly common_ and an apical trill [r] occurs in some dialects. Vowels are often lengthened before this segment.,
O,Galician,gali1258,1996,voiced aleolar trill and voiced alveolar tap,ɾ,Transcription of recorded passage & Orthographic version,unknown,yes,presence of approximant symbols set,r & ɾ,1,NA,26,NA,27,,1,normal usage of r,,
O,German,stan1295,1990,voiced uvular fricative  ,ʁ r,Transcription of recorded passage & Orthographic version,unknown,yes,presence of alveolar trill symbol and voiceless fricative uvular (maybe),ʁ,2,NA,0,NA,47,there are 2 r_ i dont know why,1,normal usage of r,/ʁ/ can be an approximant intervocalically (e.g. Herren 'gentlemen'); after voiceless plosives and fricatives_ especially those within the same word_ it is devoiced (in e.g. trat 'kicked' it is completely voiceless [χ]); postvocalically before a consonant or word-final it is vocalized to [ɐ]_ which results in diphthongs (e.g. ['haɐt] hart 'hard'_ ['oɐ] Ohr 'ear'_ see the vowel chart below); the ending -er is realised as [ɐ] (e.g. ['bʊtɐ] Butter 'butter'); the place of articulation of the consonant varies from uvular in e.g. rot 'red' to velar in e.g. treten 'kick'_ depending on back or front vowel contexts.,In 1999 considered as a phoneme /χ /
O,Hausa,haus1257,1993,voiced tap/trill alveolar (r) & voiced tap/trill alveolar (retroflex flap : ɽ),r,Narrow transcription & Orthographic version,phonetic,,, r & ɽ,36,NA,0,NA,36,,1,normal usage of r,"Tap/trill: Most Hausa speakers distinguish two tap sounds in the alveolar region_ [r_ ɽ]. The first is the ""canonical trilled r"" sound_ found in many of the world's languages. It can be realized minimally as a single tap_ but often has multiple taps_ especially word initially or finally_ and obligatorily when geminated for morphological purposes. The [ɽ] is a retroflex flap_ realized by flipping the tongue forward across the alveolar ridge. Newman (1980) provides the most extensive discussion of the status_ distribution_ and history of these sounds in Hausa. Ladefoged (1968:30) was the first to investigate the sounds instrumentally_ and though he notes the distinct articulations_ he states_ ""Indeed I have not been able to find any consistent acoustic difference between the two sounds."" The two are clearly contrastive as shown by the oft-cited though far from unique minimal pair_ [bɘra:] 'begging' vs. [bɘɽa:] 'servant' (both orthographic bara)_ but in the one tap mode illustrated by a pair such as this_ they are often difficult to distinguish. However_ when they are lengthened through one of several morphological processes_ the long variants share little articulatory or acoustic similarity. In pairs such as [ja:rɘrrɘbke:ʃi] 'he flogged him' vs. [ʃa:ɽɘɽɽe:] 'swept' (orthographic ya rarrabke shi and shararre respectively)_ the long [rr] is an alveolar trill whereas the long [ɽɽ] is a prolonged retroflex approximant (see Ladefoged and Maddieson (forthcoming) for instrumental data and discussion). It should be noted that in the sample text below_ the distinction between the two r's is not indicated. The speaker for this text is among the minority of Hausa speakers who have only the single r sound_ [r].",
O,Hebrew,hebr1245,1990,voiced aleolar trill & voiceless uvular fricative,ħ χ r,Oriental Hebrew & Non-Oriental Hebrew & Orthographic text,unknown,no,,r & χ,20,NA,0,NA,20,there are 2 narrative_ one for oriental hebrew and one for non oriental hebrew_ in both cases the r is used but in the convention section it is stated that in non oriental hebrew its more a uvular approximant that it is used,NA,hebrew writting so cannot say,Usually the Oriental-Hebrew speakers pronounce /r/ as an alveolar trill (or flap) [ɾ]; In the Non- Oriental dialect it is usually a uvular approximant [ʁ] (still_ some Non-Oriental speakers pronounce it as a trill). \\ /r/ in the Oriental dialect is usually an alveolar trill [r]. In the Non-Oriental dialect it is usually a uvular approximant [ʁ]. /χ/ is usually a voiceless uvular fricative trill (ʀ̞̊).,
O,Hindi,hind1269,1994,voiced tap or flap alveolar & voiced labiodental approximant & voiced tap or flap retroflex (ɽ) & voiced tap or flap aspirated breathy retroflex (ɽʱ),ʋ ɾ ɽ ,Transcription of recorded passage & Orthographic version,unknown,no,,ɾ & ʋ & ɽ & ɽʱ,0,NA,31,NA,31,count did not include the retroflex,NA,devanagari script so cannot say,[ɾ] can vary with [r]. The geminate [ɾ] is always an alveolar trill [r].,
O,Hungarian,hung1274,1994,voiced aleolar trill,r,Transcription of recorded passage & Orthographic version,unknown,yes,presence of half long vowel diacritics,r,21,NA,0,NA,21,,1,one and two r are possible,/r/ is a trill,
O,Igbo,nucl1417,1991,voiced alveolar approximant,ɹ,Transcription of recorded passage & Orthographic text,unknown,no,, ɹ,0,NA,0,NA,14,,1,normal usage of r,The voiced post-alveolar approximant //ɹ is realized as a flap [ɾ] intervocalically.,
O,Irish,iris1253,1995,voiced velarised alveolar tap & voiced palatalised alveolar tap & voiced alveopalatal fricative,ɾˠ ɾʲ ɕ,Transcription of recorded passage & Orthographic version,unknown,no,,ɾˠ & ɾʲ & ɕ,0,NA,23,NA,23,count of all taps ,1,one and two r are possible (no difference within the r for a distinction of palatalization and pharyngealisation),An older four-way distinction among rhotics has been reduced to a two-way distinction in Gaoth Dobhair. Initially_ the /ɾˠ ɾʲ/ distinction has been neutralized to a voiced post-alveolar approximant [ɹ]_ which takes its coloring from the following vowel. In non-initial position_ the velarized member can be realized as either [ɾˠ] or [ɹˠ]. The historical palatalized /ɾʲ/_ which in most other dialects is a palatalized tap or apico- postalveolar fricative_ may also appear in Gaoth Dobhair as a voiced palatal fricative [ʝ] in non-initial position. For both palatalized and velarized taps there is often incomplete closure with considerable frication.,
O,Japanese,nucl1643,1991,voiced plosive and affricate postalveolar ɖ ɾ,ɖ,Transcription of recorded passage & Romanization (Hepburn system) & Orthographic version,unknown,no,,ɖ,0,NA,0,NA,14,we counted the retroflex plosives,1,based on romanization,/ɖ/_ which is often transcribed by others as /r/_ is postalveolar in place rather than retroflex. Initially it tends to be slightly affricated [d̠ɹ̝̆] after /ɴ/. Between vowels [ɾ] may be more frequent. A postalveolar [l̠] is not unusual in all positions. Approximant [ɹ] may occasionally occur in some environnement.,
O,Korean,kore1280,1993,voiced lateral approximant alveolar,l,Transcription of recorded passage & Orthographic version,unknown,no,,l,0,NA,0,NA,25,we counted the l (there is one double ll),NA,korean writting so cannot say,/I/ is [ɾ] intervocalically_ but [l] or [ɭ] syllable-finally_ and [ʎ] before /i/ or [j]; /ll/ is [ll] or [Iʎ]_ according to the vowel context.,
O,Kunama,kuna1268,1999,voiced  tap/trill alveolar,r,Broad phonemic transcription & Orthographic version,phonemic,,,r,NA,9,NA,0,9,,1,normal usage of r,/r/ does not occur initially in native Kunama words though word-internally it is common in onset and coda position_ e.g. /gaa 1 baa 2 ra 2 / 'partridge_ spurfowl'_ /gor23 fa 2 / 'dirty'_ /r/ occurring initially in loanwords is adapted to Kunama pronunciation with a preceding M_ e.g. /i 2 rii 32 ga 2 / 'line (< Italian riga 'line').,Preconsonantally fil is a short trill but prevocalically it is a tap
O,Persian (Farsi),fars1255,1991,voiced aleolar trill,r rr,Transcription of recorded passage & Orthographic version,unknown,no,,r,38,NA,0,NA,38,there is a double r in the transcription,NA,Arabic writting so cannot say,/r/ varies between [ɾ] and [ɹ],
O,European Portuguese,port1283,1999,voiced alveolar tap & voiced uvular fricative,ɾ ʁ̥ ,Narrow transcription & Orthographic version,phonetic,,,ɾ & ʁ,0,NA,27,NA,28,among the 28 there is one uvular fricative,1,one r (but i think two r are also possible),,
O,Sindhi,sind1272,1995,voiced alveolar tap & voiced postalveolar tap & voiced aspirated breathy postalveolar tap & voiced approximant labiodental, ʋ r,Transcription of recorded passage & Orthographic version,unknown,no,,r & ʱ & ɽʱ &  ʋ,28,NA,0,NA,28,one of the r is a retroflex,NA,arabic based writting so cannot say,Of the rhotics /r_ ɽ_ ɽʱ/_ /r/ is realized most often as a tap but may be a trill with two or more contacts_ /ɽ_ ɽʱ/ are typically flaps.,
O,Slovene,slov1268,1995,voiced alveolar tap & voiced labiodental approximant,ɾ ʋ,Transcription of recorded passage & Orthographic version,unknown,no,,ɾ & ʋ,0,NA,16,NA,16,,1,normal usage of r,,
O,Spokane,spok1245,2000,voiced alveolar approximant & voiced glottolised alveolar approximant & voiceless uvular fricative & voiceless labialised uvular fricative,ɹ χ χʷ,Broad phonemic transcription & Narrow phonetic transcription & Orthographic version,both,,,ɹ & ɹʔ & χ &χʷ,0,0,0,0,1,,1,normal usage of r,,
O,Standard Modern Greek,gree1276,1999,voiced alveolar tap,ɾ,Transcription of recorded passage & Orthographic version,unknown,yes,presence of alveolar trill symbol and devoising diacritic for the back close vowel,ɾ,1,NA,17,NA,18,,NA,cyrilic writting and no transliteration,Greek has one rhotic sound. This is pronounced as an alveolar tap [ɾ] word-initially and intervocalically_ or when it is followed by another consonant; in fast speech it may be pronounced as an alveolar approximate In clusters In which it is preceded by a plosive or a fricative it is pronounced as a short trill.,
O,Swedish,swed1254,1990,voiced approximant alveolar & voiceless alveopalatal fricative,ɹ r,Transcription of recorded passage & Orthographic version,unknown,yes,presence of alveolar trill symbol,ɹ & ɕ,8,NA,0,NA,23,,1,normal usage of r,The retroflex allophones of the dentals [ʈ ɖ ɳ ʂ ɭ] be considered phonetic forms of In_ rd_ rn_ rs_ rl/; this is also reflected in the orthography (e.g. nordanvinden). They also arise at word and morpheme boundaries_ e.g. for+soket. /ɹ/ can be approximant (e.g. star/cast)_ voiced fricative (e.g. the first r in vandrare)_ or trilled; the trilled variant is restricted to emphatic stress in many speakers and does not appear in the recording.,
O,Taba,east2440,1996,voiced aleolar trill,no,Transcription & Orthographic version,unknown,no,,r,2,NA,0,NA,2,,1,normal usage of r,just one r in complex onset in the narrative ; it is said that the [r] is always strongly trilled,might be a tap
O,Thai,thai1261,1993,voiced aleolar trill,r,"Transcription of recorded passage
& The passage in Thai script",unknown,no,,r,14,NA,0,NA,14,,NA,thai script so cannot say,The consonant hi is realized most frequently as [ɾ] but also as [r]. Perceptual experiments (Abramson 1962: 6-9) have shown that the distinction between /r/ and /l/ is not very robust; nevertheless_ the normative attitude among speakers of Standard Thai is that they are separate phonemes_ as given in Thai script. This distinction is rather well maintained by some cultivated speakers_ especially in formal speech; however_ many show much vacillation_ with a tendency to favor the lateral phone/l/ in the position of a single initial consonant. As the second element of initial consonant clusters_ both /l/ and /r/ tend to be deleted altogether.,
O,Tukang Besi,wanc1239,1994,voiced aleolar trill,ɾ ɺ ɻ r,Transcription of recorded passage & Orthographic version,unknown,yes,presence of many symbols for the rhotic,r,3,NA,3,NA,7,and one retroflex approximant,1,normal usage of r,The phoneme /r/ varies between [r]_ [ɾ]_ [ɺ] and [ɻ]; thus_ after a back vowel_ realizations of /r/and /l/ overlap.,
O,Turkish,nucl1301,1992,voiced alveolar tap,ɾ,"Transcription
& Orthographic  version",unknown,no,,ɾ,0,NA,32,NA,32,,1,normal usage of r,,
O,The dialect of Maastricht,nucl1781,1999,uvular trill,ʀ r,Transcription of passage & Standard Duch Orthography,unknown,yes,presence of alveolar trill symbol,ʀ,2,NA,0,NA,31,only with phonetic transcirption but if we look for orhtographic transcription two r are missing,1,normal usage of r,"/ʀ/ is a (pre-)uvular trill with a fricative component, being particularly prominent in the coda, where the consonnant is partially devoiced",
